StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
2,South Lake B,6/4/1997,1215,Chloride,,U,13.3,2,NY,9741128
2,South Lake B,6/4/1997,1325,Chloride,,U,13.2,2,VT,9742115
2,South Lake B,6/18/1997,1040,Chloride,,U,14.4,2,NY,9741136
2,South Lake B,6/18/1997,1345,Chloride,,U,14.3,2,VT,9742133
2,South Lake B,6/23/1997,950,Chloride,,U,15.9,2,NY,9741153
2,South Lake B,7/2/1997,1250,Chloride,,U,17.3,2,VT,9742153
2,South Lake B,7/8/1997,1330,Chloride,,U,17.2,2,NY,9741233
2,South Lake B,7/17/1997,1300,Chloride,,U,17.4,COM,NY,9741261
2,South Lake B,7/17/1997,1350,Chloride,,U,17,2,VT,9742190
2,South Lake B,7/21/1997,932,Chloride,,U,16.9,2,NY,9741271
2,South Lake B,8/1/1997,1225,Chloride,,U,18.6,2,VT,9742214
2,South Lake B,8/4/1997,1340,Chloride,,U,18.8,2,NY,9741335
2,South Lake B,8/18/1997,1315,Chloride,,U,18.1,2,VT,9742245
2,South Lake B,8/25/1997,926,Chloride,,U,20,2,NY,9741373
2,South Lake B,8/28/1997,1120,Chloride,,U,20.7,2,NY,9741430
2,South Lake B,9/4/1997,1050,Chloride,,U,22,2,VT,9742285
2,South Lake B,9/9/1997,1600,Chloride,,U,21.6,2,NY,9741451
2,South Lake B,9/19/1997,1300,Chloride,,U,19.6,2,VT,9742311
2,South Lake B,9/22/1997,952,Chloride,,U,19.6,2,NY,9741639
2,South Lake B,9/24/1997,1420,Chloride,,U,19.8,2,NY,9741697
2,South Lake B,10/8/1997,1320,Chloride,,U,20.8,2,VT,9742341
2,South Lake B,11/5/1997,1315,Chloride,,U,23.4,2,VT,9742379
2,South Lake B,4/29/1998,1315,Chloride,,U,13.2,2,VT,9842048
2,South Lake B,5/12/1998,1310,Chloride,,U,14.9,COM,NY,9841062
2,South Lake B,5/14/1998,1230,Chloride,,U,12.7,COM,VT,9842062
2,South Lake B,5/29/1998,1215,Chloride,,U,13.2,2,VT,9842079
2,South Lake B,6/10/1998,1420,Chloride,,U,16.5,2,NY,9841094
2,South Lake B,6/17/1998,1200,Chloride,,U,10.5,2,VT,9842119
2,South Lake B,7/3/1998,1200,Chloride,,U,9.9,2,NY,9841125
2,South Lake B,7/7/1998,1250,Chloride,,U,13.2,2,VT,9842164
2,South Lake B,7/20/1998,1340,Chloride,,U,11.5,2,VT,9842198
2,South Lake B,7/29/1998,1305,Chloride,,U,12.7,COM,NY,9841145
2,South Lake B,8/3/1998,1320,Chloride,,U,13.9,2,VT,9842219
2,South Lake B,8/20/1998,1340,Chloride,,U,12.9,2,VT,9842253
2,South Lake B,8/27/1998,1455,Chloride,,U,15.2,2,NY,9841185
2,South Lake B,9/1/1998,1240,Chloride,,U,16,2,VT,9842287
2,South Lake B,9/21/1998,1145,Chloride,,U,18.6,2,NY,9841205
2,South Lake B,9/22/1998,1230,Chloride,,U,16.1,2,VT,9842317
2,South Lake B,10/7/1998,1435,Chloride,,U,18.9,2,NY,9841210
2,South Lake B,4/15/1999,1250,Chloride,,U,12.5,2,VT,9942041
2,South Lake B,5/17/1999,1330,Chloride,,U,18.8,2,VT,9942066
2,South Lake B,5/18/1999,1300,Chloride,,U,16.7,2,VT,9941038
2,South Lake B,6/1/1999,1130,Chloride,,U,15.2,2,VT,9942084
2,South Lake B,6/9/1999,1310,Chloride,,U,14.8,2,VT,9941072
2,South Lake B,6/14/1999,1220,Chloride,,U,16.6,2,VT,9942104
2,South Lake B,7/1/1999,1440,Chloride,,U,17.1,2,VT,9942122
2,South Lake B,7/19/1999,1130,Chloride,,U,18,2,VT,9942138
2,South Lake B,7/20/1999,1545,Chloride,,U,18.6,2,VT,9941100
2,South Lake B,7/29/1999,1130,Chloride,,U,23.2,2,VT,9942158
2,South Lake B,8/4/1999,1125,Chloride,,U,23.2,2,VT,9941119
2,South Lake B,8/11/1999,1330,Chloride,,U,24,2,VT,9942178
2,South Lake B,8/23/1999,1350,Chloride,,U,22.5,2,VT,9942193
2,South Lake B,8/25/1999,1350,Chloride,,U,25.1,2,VT,9941141
2,South Lake B,9/7/1999,1115,Chloride,,U,27,2,VT,9942210
2,South Lake B,9/13/1999,1415,Chloride,,U,26.1,2,VT,9941165
2,South Lake B,9/24/1999,1145,Chloride,,U,19.7,2,VT,9942240
2,South Lake B,10/7/1999,1150,Chloride,,U,20.5,2,VT,9942253
2,South Lake B,4/28/2000,1245,Chloride,,U,13.6,2,VT,200042195
2,South Lake B,5/5/2000,1310,Chloride,,U,14,2,VT,200041066
2,South Lake B,5/17/2000,1230,Chloride,,U,11.6,2,VT,200042235
2,South Lake B,5/31/2000,1320,Chloride,,U,11.7,2,VT,200042273
2,South Lake B,6/6/2000,1300,Chloride,,U,11.8,2,VT,200041097
2,South Lake B,6/15/2000,1135,Chloride,,U,13.3,2,VT,200042300
2,South Lake B,6/28/2000,1310,Chloride,,U,13,2,VT,200042318
2,South Lake B,7/19/2000,1200,Chloride,,U,9.2,2,VT,200042355
2,South Lake B,8/2/2000,1150,Chloride,,U,7.4,2,VT,200042382
2,South Lake B,8/18/2000,1135,Chloride,,U,13.9,2,VT,200042407
2,South Lake B,8/21/2000,1525,Chloride,,U,14.3,2,VT,200041208
2,South Lake B,9/1/2000,1145,Chloride,,U,14.7,2,VT,200042429
2,South Lake B,9/12/2000,1205,Chloride,,U,14.9,2,VT,200041224
2,South Lake B,9/18/2000,1300,Chloride,,U,15.8,2,VT,200042443
2,South Lake B,10/12/2000,1415,Chloride,,U,18.2,2,VT,200041272
2,South Lake B,10/12/2000,1150,Chloride,,U,18,2,VT,200042457
2,South Lake B,5/3/2001,1150,Chloride,,U,8.9,2,VT,200142120
2,South Lake B,5/14/2001,1215,Chloride,,U,11,2,VT,200142136
2,South Lake B,5/22/2001,1245,Chloride,,U,12.9,2,VT,200141124
2,South Lake B,6/1/2001,1140,Chloride,,U,18.7,2,VT,200142154
2,South Lake B,6/13/2001,1045,Chloride,,U,14.5,2,VT,200141170
2,South Lake B,6/13/2001,1120,Chloride,,U,13.6,2,VT,200142170
2,South Lake B,6/27/2001,1130,Chloride,,U,15.5,2,VT,200142191
